Fecha,Hora,Radiacion,Temperatura
2020-01-30,08,53,298.25
2020-01-30,08,62,298.25
2020-01-30,08,62,298.35
2020-01-30,08,89,298.35
2020-01-30,08,66,298.45
2020-01-30,08,62,298.45
2020-01-30,08,59,298.55
2020-01-30,08,48,298.65
2020-01-30,08,48,298.65
2020-01-30,08,67,298.65
2020-01-30,08,82,298.65
2020-01-30,08,98,298.75
2020-01-30,09,128,298.95
2020-01-30,09,129,299.05
2020-01-30,09,106,299.05
2020-01-30,09,86,299.05
2020-01-30,09,84,299.05
2020-01-30,09,93,299.05
2020-01-30,09,93,299.05
2020-01-30,09,114,299.25
2020-01-30,09,83,299.45
2020-01-30,09,65,299.55
2020-01-30,09,64,299.55
2020-01-30,09,63,299.45
2020-01-30,10,66,299.25
2020-01-30,10,47,299.25
2020-01-30,10,40,299.15
2020-01-30,10,32,299.15
2020-01-30,10,45,299.05
2020-01-30,10,58,298.95
2020-01-30,10,55,298.85
2020-01-30,10,47,298.75
2020-01-30,10,44,298.65
2020-01-30,10,47,298.45
2020-01-30,10,47,298.25
2020-01-30,10,49,298.15
2020-01-30,11,38,298.15
2020-01-30,11,42,298.15
2020-01-30,11,54,297.95
2020-01-30,11,95,297.85
2020-01-30,11,70,297.65
2020-01-30,11,55,297.45
2020-01-30,11,50,297.45
2020-01-30,11,50,297.55
2020-01-30,11,71,297.55
2020-01-30,11,94,297.65
2020-01-30,11,134,297.85
2020-01-30,11,162,297.95
2020-01-30,12,141,297.95
2020-01-30,12,106,297.85
2020-01-30,12,89,297.55
2020-01-30,12,124,297.45
2020-01-30,12,178,297.55
2020-01-30,12,146,297.55
2020-01-30,12,126,297.45
2020-01-30,12,162,297.75
2020-01-30,12,165,297.85
2020-01-30,12,147,297.85
2020-01-30,12,141,297.95
2020-01-30,12,132,298.05
2020-01-30,13,114,297.95
2020-01-30,13,114,297.85
2020-01-30,13,120,297.85
2020-01-30,13,116,297.85
2020-01-30,13,135,297.85
2020-01-30,13,159,297.75
2020-01-30,13,184,297.85
2020-01-30,13,196,298.05
2020-01-30,13,230,298.05
2020-01-30,13,239,298.15
2020-01-30,13,202,298.55
2020-01-30,13,175,298.55
2020-01-30,14,169,298.55
2020-01-30,14,169,298.55
2020-01-30,14,166,298.55
2020-01-30,14,178,298.45
2020-01-30,14,206,298.35
2020-01-30,14,232,298.35
2020-01-30,14,253,298.45
2020-01-30,14,239,298.55
2020-01-30,14,235,298.55
2020-01-30,14,258,298.55
2020-01-30,14,271,298.65
2020-01-30,14,245,298.75
2020-01-30,15,240,298.85
2020-01-30,15,267,299.25
2020-01-30,15,262,299.55
2020-01-30,15,280,299.75
2020-01-30,15,315,299.95
2020-01-30,15,274,300.25
2020-01-30,15,231,300.25
2020-01-30,15,218,300.25
2020-01-30,15,225,300.55
2020-01-30,15,220,300.65
